iter	Passed	Remaining
399	38938	58407
400	39030	58303
401	39123	58198
402	39202	58074
403	39357	58062
404	39441	57945
405	39557	57874
406	39684	57821
407	39857	57832
408	39938	57710
409	40029	57603
410	40097	57463
411	40259	57457
412	40389	57405
413	40475	57291
414	40567	57186
415	40674	57100
416	40809	57054
417	40971	57046
418	41064	56941
419	41149	56825
420	41249	56729
421	41396	56699
422	41549	56676
423	41625	56547
424	41764	56505
425	41928	56495
426	42019	56386
427	42092	56254
428	42197	56164
429	42277	56042
430	42358	55920
431	42469	55839
432	42536	55700
433	42616	55578
434	42707	55470
435	42807	55374
436	42903	55273
437	43013	55191
438	43091	55066
439	43195	54976
440	43272	54851
441	43465	54872
442	43570	54782
443	43658	54671
444	43847	54686
445	43924	54560
446	44066	54516
447	44225	54491
448	44341	54414
449	44425	54297
450	44567	54251
451	44719	54217
452	44849	54156
453	44927	54032
454	45020	53925
455	45125	53834
456	45264	53781
457	45412	53741
458	45492	53619
459	45641	53578
460	45806	53557
461	45892	53442
462	46046	53406
463	46201	53370
464	46273	53238
465	46362	53127
466	46475	53043
467	46621	52996
468	46731	52909
469	46824	52802
470	46956	52738
471	47114	52704
472	47215	52606
473	47312	52502
474	47401	52391
475	47492	52281
476	47578	52167
477	47728	52121
478	47866	52063
479	47997	51997
480	48098	51897
481	48245	51848
482	48387	51794
483	48425	51627
484	48544	51546
485	48724	51531
486	48814	51421
487	48909	51315
488	49006	51210
489	49161	51167
490	49287	51093
491	49370	50976
492	49447	50851
493	49539	50742
494	49734	50739
495	49849	50653
496	49935	50537
497	50109	50512
498	50256	50457
499	50369	50369
500	50541	50340
501	50681	50277
502	50762	50156
503	50898	50090
504	51056	50045
505	51164	49951
506	51255	49839
507	51401	49782
508	51573	49749
509	51677	49651
510	51782	49553
511	51853	49422
512	51986	49351
513	52065	49229
514	52207	49166
515	52381	49132
516	52493	49041
517	52546	48894
518	52624	48771
519	52804	48742
520	52912	48647
521	52990	48523
522	53123	48451
523	53205	48331
524	53335	48256
525	53421	48140
526	53587	48096
527	53747	48047
528	53883	47975
529	54050	47931
530	54176	47851
531	54282	47752
532	54416	47678
533	54530	47586
534	54574	47433
535	54729	47377
536	54874	47312
537	55043	47268
538	55161	47178
539	55245	47060
540	55373	46980
541	55539	46931
542	55647	46834
543	55738	46722
544	55848	46625
545	55964	46534
546	56055	46422
547	56135	46301
548	56252	46211
549	56349	46104
550	56444	45995
551	56540	45887
552	56636	45780
553	56751	45688
554	56842	45576
555	56965	45490
556	57100	45413
557	57187	45298
558	57286	45193
559	57399	45099
560	57504	44999
561	57592	44885
562	57678	44769
563	57782	44668
564	57878	44561
565	57965	44447
566	58072	44348
567	58147	44225
568	58280	44145
569	58359	44025
570	58446	43911
571	58565	43821
572	58649	43705
573	58723	43582
574	58847	43496
575	58940	43386
576	59035	43278
577	59133	43173
578	59217	43057
579	59340	42970
580	59417	42849
581	59511	42742
582	59583	42617
583	59686	42516
584	59762	42395
585	59850	42283
586	59944	42175
587	60030	42062
588	60118	41950
589	60214	41844
590	60300	41730
591	60409	41633
592	60481	41510
593	60562	41394
594	60655	41286
595	60745	41176
596	60838	41068
597	60939	40965
598	61018	40848
599	61132	40755
600	61213	40638
601	61337	40551
602	61518	40502
603	61602	40388
604	61685	40273
605	61780	40167
606	61852	40045
607	61942	39936
608	62088	39862
609	62201	39768
