iter	Logloss
198	0.4023376529
199	0.402268602
200	0.4022623627
201	0.4022227284
202	0.4018125871
203	0.4017285793
204	0.40158613
205	0.4015812861
206	0.4014459387
207	0.4012290064
208	0.401013438
209	0.4006098197
210	0.4000749971
211	0.3998370559
212	0.3998292134
213	0.3997279043
214	0.3995338009
215	0.3995265844
216	0.3992668485
217	0.399150387
218	0.3989812995
219	0.3989022993
220	0.3987287968
221	0.3986129075
222	0.3985200154
223	0.3984776736
224	0.3981295298
225	0.3981251266
226	0.3980438303
227	0.3980360538
228	0.3980310641
229	0.3976435479
230	0.3975848622
231	0.3975182974
232	0.3973430404
233	0.3972273283
234	0.3967963468
235	0.3967186406
236	0.3967090999
237	0.3963506488
238	0.3960227634
239	0.3959888164
240	0.3957300957
241	0.3957074468
242	0.3956165744
243	0.3954037505
244	0.3953270337
245	0.3947553483
246	0.3947234587
247	0.3946010838
248	0.3944284139
249	0.3943564074
250	0.3940442407
251	0.3940172203
252	0.393992498
253	0.3937946721
254	0.3936404149
255	0.3935842975
256	0.3933914462
257	0.3930943055
258	0.3928685613
259	0.3928367548
260	0.3926548603
261	0.3924540432
262	0.3923735586
263	0.3923522049
264	0.392157646
265	0.3920711056
266	0.3919072543
267	0.391905724
268	0.3916414924
269	0.3916399513
270	0.391335444
271	0.3910932324
272	0.3910504256
273	0.3910326828
274	0.3909731161
275	0.3909662189
276	0.3908380517
277	0.3906583526
278	0.3905626136
279	0.3905393481
280	0.3903794264
281	0.3903293899
282	0.3900685557
283	0.3900683709
284	0.3899141406
285	0.3897885883
286	0.3897877774
287	0.3896205815
288	0.3896045494
289	0.3894580028
290	0.3894006244
291	0.3893984835
292	0.3893791341
293	0.3893253935
294	0.3891900468
295	0.3891898038
296	0.3890080586
297	0.3888842311
298	0.3888394263
299	0.3887437609
300	0.388719706
301	0.3887177869
302	0.3886600146
303	0.3885469174
304	0.3884777825
305	0.3884720517
306	0.3884512392
307	0.3884306983
308	0.3884160943
309	0.387906992
310	0.3876923052
311	0.387658575
312	0.3873488106
313	0.3872984276
314	0.3872622231
315	0.3872620619
316	0.3872619065
317	0.3872617567
318	0.3872596344
319	0.3872518269
320	0.3872342909
321	0.3871517563
322	0.3871501845
323	0.3871485325
324	0.3870725024
325	0.3870715328
326	0.3870169113
327	0.3869569202
328	0.3869561047
329	0.3865436955
330	0.386318489
331	0.3862720226
332	0.3862494374
333	0.3861868608
334	0.3861865946
335	0.3861253509
336	0.3858943837
337	0.3856987236
338	0.3856983315
339	0.3856886504
340	0.3856158025
341	0.3853199517
342	0.3852753768
343	0.3852194045
344	0.3850295389
345	0.3848004958
346	0.3847943922
347	0.3846857462
348	0.3846833192
349	0.3846362903
350	0.3845529718
351	0.3843938826
352	0.3843681238
353	0.3843665576
354	0.3843304672
355	0.3843148481
356	0.384216388
357	0.3839903986
358	0.3838551234
359	0.3838548301
360	0.3838517963
361	0.3838508
362	0.3838497383
363	0.3836253388
364	0.383552368
365	0.383551206
366	0.3834185618
367	0.3834177318
368	0.3830197319
369	0.3829627237
370	0.3829597365
371	0.3829364372
372	0.3828350237
373	0.3828329656
374	0.3826388824
375	0.3826125243
376	0.3824951651
377	0.3824698785
378	0.3822439966
379	0.3822333569
380	0.3819664946
381	0.3819616083
382	0.3819606955
383	0.3818648684
384	0.3818642507
385	0.3817409165
386	0.3816401256
387	0.3814168557
388	0.3812899553
389	0.3811032232
390	0.3810869427
391	0.3810827902
392	0.3810687032
393	0.3809858254
394	0.3808616773
395	0.3806694716
396	0.3804018826
397	0.3803257859
398	0.3800700622
399	0.3800683142
400	0.3798973542
401	0.3798447681
402	0.3795850177
403	0.3793743564
404	0.3793728707
405	0.3793210135
406	0.3793069696
407	0.3792723193
408	0.3792701511
409	0.3792478923
410	0.3792468019
411	0.379231197
412	0.3790398204
413	0.3789984978
414	0.3789679413
415	0.3786784157
416	0.3786479823
417	0.3785958838
418	0.3784971879
419	0.3783880535
420	0.3782521942
421	0.3781987543
422	0.3781834696
423	0.3781472939
424	0.3779521033
425	0.3779483778
426	0.3779042469
427	0.377901007
428	0.3777508586
429	0.3775773795
430	0.3773057339
431	0.3767499937
432	0.3767488887
433	0.3766590287
434	0.3765243718
435	0.3764690542
436	0.376368957
437	0.3762529698
438	0.3761638187
439	0.3760741878
440	0.3760598067
441	0.3759013936
442	0.3758625083
443	0.3757224603
444	0.3756242049
445	0.3756225861
446	0.3756154961
447	0.3755276628
448	0.3753698854
449	0.3753638577
450	0.3753527874
451	0.3753412109
452	0.3752505725
453	0.3752073042
454	0.3751837668
455	0.3751128129
456	0.3751119467
457	0.3750671969
458	0.3749973352
459	0.3748877787
460	0.3747849678
461	0.3746848411
462	0.3746483008
463	0.3746426354
464	0.374469355
465	0.3743263053
466	0.3742821677
467	0.3742767116
468	0.3742637342
469	0.3741993216
470	0.3741680572
471	0.3739704726
472	0.3736985259
473	0.3735884691
474	0.3735715668
475	0.3735156801
476	0.3734203213
477	0.3733783114
478	0.3731618352
479	0.3731391286
480	0.3731249507
481	0.3730395911
482	0.3726838505
483	0.3726832849
484	0.3724549108
485	0.372356193
486	0.3723504353
487	0.3722600254
488	0.3721426415
489	0.372042316
490	0.3720399538
491	0.3720386721
492	0.3718748873
493	0.3718043491
494	0.3716012021
495	0.3715997025
496	0.3715402818
497	0.3712110686
498	0.3711759974
499	0.3710974682
500	0.3709601666
501	0.3708171615
502	0.3707234563
503	0.3706728437
504	0.37067244
505	0.3706660429
506	0.370586582
507	0.3702508806
508	0.3701823153
509	0.3700004481
510	0.3698596745
511	0.3698489253
512	0.3696867385
513	0.3696487667
514	0.3696314101
515	0.3694711397
516	0.3693202309
517	0.3693117318
518	0.3690865965
519	0.3690660421
520	0.3689481341
521	0.368940743
522	0.368935605
523	0.3689355093
524	0.3687896885
525	0.3687297012
526	0.3685461934
527	0.3685311634
528	0.3684031018
529	0.3683684396
530	0.3682826423
531	0.368280309
532	0.3681914631
533	0.3680949627
534	0.3680949627
535	0.3680825471
536	0.367857971
537	0.3678345154
538	0.3678128163
539	0.3677428481
540	0.3675795108
541	0.3674662501
542	0.3674569189
543	0.3674090684
544	0.3673632419
545	0.3673333446
546	0.3671895318
547	0.3670122113
548	0.3669590368
549	0.3669383944
550	0.3668274865
551	0.3667731996
552	0.3667167507
553	0.3666139915
554	0.3665776141
555	0.366354002
556	0.366127002
557	0.3661136181
558	0.3658916625
559	0.3657580171
560	0.3655920428
561	0.3655072294
562	0.3654752572
563	0.365290213
564	0.3652079053
565	0.3650764788
566	0.3650488117
567	0.3650325233
568	0.3650234407
569	0.3650013129
570	0.3649839216
571	0.3648322631
572	0.364716574
573	0.364715879
574	0.3646442807
575	0.3646202832
576	0.3643445036
577	0.3643415795
578	0.3641841844
579	0.3640881022
580	0.3640570643
581	0.3639702779
582	0.3639674141
583	0.3638424784
584	0.3637881881
585	0.3637455238
586	0.3637247616
587	0.3636880428
588	0.3636159841
589	0.3634836629
590	0.363382228
591	0.3633764186
592	0.3633348326
593	0.3633154984
594	0.3632805767
595	0.3629486162
596	0.3628517073
597	0.3628194807
598	0.3627503805
599	0.3627479185
600	0.3626199267
601	0.3624844787
602	0.3623975749
603	0.3623926091
604	0.3623638205
605	0.3623535092
606	0.3623402283
607	0.3622536607
608	0.3621335821
609	0.3621244266
610	0.3620889253
611	0.3620755667
612	0.3619914272
613	0.361990481
614	0.3616503064
615	0.3616114377
616	0.3616094244
617	0.3615177892
618	0.3614535574
619	0.3613924928
620	0.3613248463
621	0.361226204
622	0.3612221873
623	0.36113812
624	0.3610290437
625	0.3610046343
626	0.3609729851
627	0.3609416847
628	0.3609164058
629	0.3608103183
630	0.360660413
631	0.3604230541
632	0.3604215899
633	0.3603654513
634	0.3603633024
635	0.3603407791
636	0.3603407791
637	0.3602371063
638	0.3602371062
639	0.3602326708
640	0.3601653423
641	0.3601032473
642	0.3601019953
643	0.360100923
644	0.3600976402
645	0.3599641959
646	0.35996327
647	0.3599624922
648	0.3598756776
649	0.3598562058
650	0.359764426
651	0.3597393795
652	0.359676655
653	0.3596757423
654	0.3593514179
655	0.359310709
656	0.3592677374
657	0.3592267308
658	0.3592104111
659	0.3591571716
660	0.3589406337
661	0.3589291047
662	0.358926638
663	0.3586934965
664	0.3586875082
665	0.358611803
666	0.3585806986
667	0.3585538171
668	0.3584059661
669	0.3583803329
670	0.3583338112
671	0.3583305342
672	0.3581460912
673	0.3581432456
674	0.357892279
675	0.3578018834
676	0.3577686314
677	0.357724757
678	0.3577116916
679	0.357588971
680	0.3574618242
681	0.3573804266
682	0.3573330953
683	0.3573228226
684	0.3572967701
685	0.3572859069
686	0.357281036
687	0.3571971731
688	0.357148013
689	0.3571318078
690	0.3571227225
691	0.3571207859
692	0.3571147696
693	0.3570897596
694	0.3570579669
695	0.3569239107
696	0.3569212296
697	0.3569085322
698	0.3568436864
699	0.3568436864
700	0.3567756277
701	0.356720473
702	0.356454868
703	0.3564516275
704	0.3563927012
705	0.3563563256
706	0.35635055
707	0.3563491789
708	0.3563473623
709	0.3563159293
710	0.3563149835
711	0.356214439
712	0.3562138135
713	0.3561611592
714	0.356104201
715	0.3560580129
716	0.3559629309
717	0.3559544405
718	0.3558257816
719	0.355802796
720	0.3557941108
721	0.3557900378
722	0.3556933452
723	0.3556875602
724	0.3556223213
725	0.3554618797
726	0.3554589071
727	0.3554287174
728	0.3551817693
729	0.3551234886
730	0.3550817215
731	0.3550535148
732	0.3549898101
733	0.3549828431
734	0.3548456918
735	0.3548153235
736	0.3546663843
737	0.3546243013
738	0.3545759661
739	0.3545714385
740	0.3545118613
741	0.3544419259
742	0.354312493
743	0.354055291
744	0.3540072905
745	0.3536084932
746	0.3534887041
747	0.3534510493
748	0.3534391621
749	0.3533055954
750	0.3532579439
751	0.3532546716
752	0.3529093219
753	0.3528928236
754	0.352879552
755	0.3528434734
756	0.3527688132
757	0.3527676646
758	0.3527343694
759	0.352717038
760	0.3526648464
761	0.3526308676
762	0.3525438497
763	0.352437652
764	0.352311502
765	0.3523100109
766	0.3522787107
767	0.3522432895
768	0.3522303741
769	0.3520498023
770	0.3520208292
771	0.3519144037
772	0.351740867
773	0.3517231254
774	0.3516686985
775	0.3515919823
776	0.3515750937
777	0.3515197012
778	0.3514810198
779	0.3512381846
780	0.3512304492
781	0.3512236509
782	0.3511881616
783	0.3511872252
784	0.3511816996
785	0.3511808355
786	0.3511362483
787	0.3511201992
788	0.3511036238
789	0.3510393124
790	0.3508730502
791	0.3506445013
792	0.3505376771
793	0.350535969
794	0.3505226667
795	0.3505205341
796	0.3504904751
797	0.3504892969
798	0.3503784263
799	0.3503771091
800	0.3503660546
801	0.350364669
802	0.3503631967
803	0.3503622116
804	0.3503526902
805	0.3503517332
806	0.3503509714
807	0.3503501691
808	0.3503498684
809	0.3503341029
810	0.3503339579
811	0.350314658
812	0.3502723686
813	0.3502721446
814	0.350270585
815	0.3502689964
816	0.3501648732
817	0.3501476964
818	0.3501472902
819	0.3500966784
820	0.3500226922
821	0.3496313371
822	0.349559738
823	0.3495394237
824	0.3494971092
825	0.3494955751
826	0.3492895502
827	0.3492643626
828	0.3492552104
829	0.3491468902
830	0.3491254534
831	0.3491249354
832	0.3490672895
833	0.3490382804
834	0.3490095012
835	0.3489497183
836	0.3489496459
837	0.3488096812
838	0.3488088994
839	0.34880334
840	0.3487211766
841	0.348701034
842	0.3487006381
843	0.3486918346
844	0.3486914797
845	0.3486361269
846	0.3486138976
847	0.3485844392
848	0.3485110229
849	0.348506234
850	0.3485053491
851	0.3484961376
852	0.3484824825
853	0.3484324092
854	0.3483271886
855	0.3483269305
856	0.3480292391
857	0.3478908858
858	0.3478702792
859	0.3478624739
860	0.3478578389
861	0.3477994819
862	0.3477795187
863	0.3477709494
864	0.3477098256
865	0.3476490615
866	0.3475913417
867	0.3474646551
868	0.347449637
869	0.3474484472
870	0.3474465531
871	0.3474416849
872	0.3472656008
873	0.3472652539
874	0.3471187675
875	0.3470979958
876	0.3470574212
877	0.3469842834
878	0.3469624976
879	0.3468288133
880	0.3467202954
881	0.3467194302
882	0.3466249985
883	0.3466247149
884	0.3466245825
885	0.3464403849
886	0.3464090685
887	0.346267759
888	0.3461379289
889	0.3461080128
890	0.3459305749
891	0.3456158078
892	0.3455999323
893	0.3455896455
894	0.3455653309
895	0.3453814603
896	0.3453262192
897	0.3451669588
898	0.3451327899
899	0.3450926859
900	0.3450920844
901	0.345028106
902	0.3449677277
903	0.3449562418
904	0.3449174339
905	0.3448607242
906	0.3447367845
907	0.3447257652
908	0.3446138859
909	0.3445823761
910	0.3445822439
911	0.3445658076
912	0.3445339507
913	0.3445087028
914	0.344447485
915	0.3444393424
916	0.3443767868
917	0.3442661857
918	0.3440848754
919	0.3438936735
920	0.3438184401
921	0.3437621903
922	0.3437552522
923	0.3437376407
924	0.3436968926
925	0.343613196
926	0.3435492744
927	0.3435193397
928	0.3434728626
929	0.343362656
930	0.3433620077
931	0.3433552756
932	0.3433521669
933	0.3433143662
934	0.3430969693
935	0.3430964039
936	0.3430819217
937	0.3430708725
938	0.3430450541
939	0.3430342697
940	0.34302197
941	0.3430192476
942	0.3429874438
943	0.3429473439
944	0.342911375
945	0.3429014
946	0.3428473727
947	0.3426837527
948	0.3426834093
949	0.3426829419
950	0.342675671
951	0.3426038045
952	0.3426033868
953	0.3424952041
954	0.3424661415
955	0.3424270881
956	0.3424195331
957	0.3423829434
958	0.3423315153
959	0.3422550301
960	0.3422538834
961	0.342220951
962	0.3421525651
963	0.3421522843
964	0.3421396737
965	0.3421344176
966	0.3420550249
967	0.3420518149
968	0.3420513953
969	0.3419160599
970	0.3419157766
971	0.3419153623
972	0.3419152407
973	0.3416670315
974	0.3415076607
975	0.3413369304
976	0.3412722452
977	0.341272096
978	0.3412719296
979	0.3412438196
980	0.3409554847
981	0.3409330814
982	0.3409330158
983	0.3409277429
984	0.3408263063
985	0.3407074683
986	0.3407073797
987	0.3406581138
988	0.3406418171
989	0.3405569186
990	0.3405567225
991	0.3404892121
992	0.3404738965
993	0.3404323834
994	0.3404143236
995	0.3403986165
996	0.3403449236
997	0.3403374587
998	0.3403352143
999	0.3402441989
